モンスター名,No,他国,所持,入手方法,配合1,配合2,配合3,配合4
いっかく竜,81,,T,よろこびの扉,コドラ,おばけキャンドル,,
あばれうしどり,82,,,しあわせの扉,おおにわとり,スノードラゴン,,
ベビーパンサー,83,,T,おもいでの扉,スカルガルー,おおにわとり,,
ばくだんいわ,84,,T,,ミステリドール,スカルガルー,,
ブッチョマン,85,,,きょじんの扉,コサックシープ,ミステリドール,,
やたがらす,86,,,さそいの扉,ミストウィング,コサックシープ,,
エビルドライブ,87,,T,孵化で入手,ドラゴン,おおめだま,,
スライムベス,88,,,,スライムファング,ミイラおとこ,,
ドラゴンブッシュ,89,,,しあわせの扉,いばらドラゴン,メラゴースト,,
もみじこぞう,90,,T,ゆうきの扉,あばれうしどり,ミストウィング,,
ワンダーフール,91,,T,,ベビーパンサー,あばれうしどり,,
フレイム,92,,T,おおぞらの扉,ブリザード,メラゴースト,,
くびかり族,93,,T,とまどいの扉,ブッチョマン,ばくだんいわ,,
ボーンプリズナー,94,,T,ゆうきの扉,やたがらす,ブッチョマン,,
ドロルメイジ,95,,,孵化で入手,,,,
ダッシュラン,96,,T,,コドラ,リザードキッズ,,
マッドプラント,97,,,,もみじこぞう,ドラゴンブッシュ,,
グリズリー,98,,,よろこびの扉,ワンダーフール,ドラゴンブッシュ,,
モーモン,99,,,孵化で入手,,,,
ドロヌーバ,100,,,よろこびの扉,フレイム,ワンダーフール,,
ドルイド,101,,,おもいでの扉,くびかり族,フレイム,,
スキッパー,102,,T,ちからの扉,ボーンプリズナー,くびかり族,,
スライムつむり,103,,,しあわせの扉,スライムベス,やたがらす,,
ドラゴン,104,,T,まちびとの扉,ドラゴンキッズ,ドラゴンキッズ,,
サボテンボール,105,,,おもいでの扉 -黄金郷,,,,
よるのていおう,106,,T,ちからの扉,グリズリー,マッドプラント,,
リンリン,107,,T,おおぞらの扉,ドロヌーバ,グリズリー,,
ジャンバラヤン,108,,T,やすらぎの扉,ドルイド,ドロヌーバ,,
ダースウルフェン,109,,,さそいの扉,スキッパー,ドルイド,,
トマトマーレ,110,,,まちびとの扉-黄金郷,,,,
フェアリードラゴン,111,,,しあわせの扉,ドラゴン,スライムつむり,,
オニオーン,112,,,ほろびの扉,マッドプラント,ダッシュラン,,
シードッグ,113,,,,よるのていおう,スライムつむり,,
プリズニャン,114,入手可,,,,,,
おどるほうせき,115,,,,わらいぶくろ,わらいぶくろ,,
ベビーサタン,116,,,きょじんの扉,ジャンバラヤン,よるのていおう,,
マッドロン,117,,,さそいの扉,ダースウルフェン,ジャンバラヤン,,
ぶちスライム,118,,T,ちからの扉,スライム,スライムベス,,
おおイグアナ,119,,,いかりの扉,フェアリードラゴン,ダースウルフェン,,
テールイーター,120,,,さいはての扉,オニオーン,フェアリードラゴン,,
どんぐりベビー,121,,T,,サボテンボール,ガップリン,,
アルミラージ,122,,,きょじんの扉,いっかく竜,ズッキーニャ,,
あくまのつぼ,123,,T,,おどるほうせき,シードッグ,,
グレムリン,124,,,さいはての扉,ベビーサタン,おどるほうせき,,
ハエおとこ,125,,T,かがみの扉,マッドロン,おどるほうせき,,
ウィングスネーク,126,,T,ちからの扉,おおイグアナ,ぶちスライム,,
かまいたち,127,,T,さそいの扉,テールイーター,おおイグアナ,,
サーベルきつね,128,,T,まよいの扉,アルミラージ,テールイーター,,
ひとくい箱,129,,T,,わらいぶくろ,ばくだんいわ,,
ヌボーン,130,,,さそいの扉,デンデン竜,おおめだま,,
はなまどう,131,,,きょじんの扉,ハエおとこ,グレムリン,,
スライムカルゴ,132,,,さばきの扉,ぶちスライム,マッドロン,,
スカルゴン,133,,,,ドラゴン,メラゴースト,,
じんめんちょう,134,,T,しんじつの扉,かまいたち,ウィングスネーク,,
ポグフィッシュ,135,,T,孵化で入手,,,,
ビックアイ,136,,T,ゆうきの扉,サーベルきつね,かまいたち,,
シャドー,137,,T,やすらぎの扉,ひとくい箱,サーベルきつね,,
びっくりサタン,138,,,きょじんの扉,ヌボーン,ひとくい箱,,
ポムポムボム,139,,,おおぞらの扉,サボテンボール,メラゴースト,,
ドラゴンバゲージ,140,,T,しあわせの扉,デンデン竜,ズッキーニャ,,
フェアリーラット,141,,,まよいの扉,ぐんたいアリ,シャドー,,
オーク,142,,T,しあわせの扉,ビックアイ,じんめんちょう,,
さつじんいかり,143,,T,,リンリン,おおめだま,,
レッサーデーモン,144,,T,しんじつの扉,ベビーサタン,メラゴースト,,
パラサキス,145,,,,ポムポムボム,びっくりサタン,,
かれくさネズミ,146,,,ゆうきの扉-黄金郷,,,,
スノーム,147,,,,ブリザード,スライム,,
フーセンドラゴン,148,,T,おおぞらの扉,ドラゴンバゲージ,ポムポムポム,,
デッドペッカー,149,,,,フェアリーラット,ドラゴンバゲージ,,
ストロングアニマル,150,,,さそいの扉,オーク,フェアリーラット,,
とっしんこぞう,151,,,とまどいの扉,ダッシュラン,おばけキャンドル,,
りゅうはかせ,152,,T,さそいの扉,,,,
ゴールドマン,153,,,,ゴーレム,おどるほうせき,,
ひとつめピエロ,154,,,ほろびの扉,レッサーデーモン,オーク,,
ふゆうじゅ,155,,,さばきの扉,パラサキス,レッサーデーモン,,
