モンスター名,No,他国,所持,入手方法,配合1,配合2,配合3,配合4
スライム,1,,T,たびだちの扉,スライム,スライム,,
ドラゴンキッズ,2,,T,まもりの扉,スライム,ズッキーニャ,,
ズッキーニャ,3,,T,まちびとの扉,スライム,ズッキーニャ,,
ももんじゃ,4,,T,,スライム,メラゴースト,,
おばけキャンドル,5,,T,たびだちの扉,ドラゴンキッズ,リーファ,,
おおめだま,6,,T,いかりの扉,スライム,おばけキャンドル,,
メラゴースト,7,,T,いかりの扉,スライム,おおめだま,,
からくりエッグ,8,,T,ちからの扉,,,, 
リーファ,9,,T,,ドラゴンキッズ,メラゴースト,,
コドラ,10,,T,まよいの扉,ズッキーニャ,リーファ,,
カバシラー,11,,T,まちびとの扉,ズッキーニャ,ドラゴンキッズ,,
いたずらもぐら,12,,T,ほろびの扉,ももんじゃ,ズッキーニャ,,
わらいぶくろ,13,,T,まもりの扉,おばけキャンドル,ももんじゃ,,
ドラキー,14,,T,たびだちの扉,おおめだま,おばけキャンドル,,
マンドラ,15,,T,まちびとの扉,マンドラ,スライム,,
ゴースト,16,,T,よろこびの扉,メラゴースト,おおめだま,,
タマゴロン,17,,T,,リーファ,メラゴースト,,
リザードキッズ,18,,T,やすらぎの扉,アルゴリザード,ももんじゃ,,
くしざしツインズ,19,,T,まもりの扉,カバシラー,コドラ,,
アントベア,20,,T,たびだちの扉,いたずらもぐら,カバシラー,,
どろにんぎょう,21,,T,おもいでの扉,いたずらもぐら,わらいぶくろ,,
リップス,22,,T,ふういんの扉,ドラキー,わらいぶくろ,,
きりかぶおばけ,23,,T,おもいでの扉,ゴースト,ドラキー,,
スライムツリー,24,,T,おもいでの扉,タマゴロン,ゴースト,,
とさかへび,25,,T,まちびとの扉,リザードキッズ,タマゴロン,,
ピッキー,26,,T,たびだちの扉,くしざしツインズ,タマゴロン,,
ファーラット,27,,T,まちびとの扉,アントベア,くしざしツインズ,,
ネジまきどり,28,,T,しんじつの扉,どろにんぎょう,アントベア,,
おにこぞう,29,,T,,リップス,どろにんぎょう,,
エビルシード,30,,,ゆうきの扉,きりかぶおばけ,リップス,,
バブルスライム,31,,,まぼろしの扉,スライムツリー,きりかぶおばけ,,
いばらドラゴン,32,,T,ねむりの扉,とさかへび,スライムツリー,,
キャタピラー,33,,,,ピッキー,とさかへび,,
おおきづち,34,,T,やすらぎの扉,ファーラット,ピッキー,,
モコッキー,35,,T,ゆうきの扉,,,, 
ばくだんベビー,36,,T,とまどいの扉,ネジまきどり,ピッキー,,
プークプック,37,,T,とまどいの扉,おにこぞう,ネジまきどり,,
おばけきのこ,38,,,よろこびの扉,エビルシード,おにこぞう,,
ホイミスライム,39,,T,たびだちの扉,バブルスライム,エビルシード,,
アルゴリザード,40,,T,しんじつの扉,リザードキッズ,メラゴースト,,
ぐんたいアリ,41,,T,まもりの扉,キャタピラー,いばらドラゴン,,
ポンポコだぬき,42,,,うらみの扉,おおきづち,いばらドラゴン,,
ブリザード,43,,T,まもりの扉 -黄金郷-,フレイム,イエティ,,
ヘルボックル,44,,,しれんの扉,プークプック,ばくだんヘビー,,
アニマルゾンビ,45,,T,とまどいの扉,おばけきのこ,プークプック,,
はねスライム,46,,T,ほろびの扉,ホイミスライム,おばけきのこ,,
デンデン竜,47,,,,リザードキッズ,ズッキーニャ,,
はなカワセミ,48,,,しれんの扉,ぐんたいアリ,ホイミスライム,,
おおがらす,49,,T,,ピッキー,メラゴースト,,
イエティ,50,,,,ブリザード,ももんじゃ,,
ベロゴン,51,,,孵化で入手,ファーラット,アニマルゾンビ,,
シャイニング,52,,T,しんじつの扉,ブリザード,ぐんたいアリ,,
かまっち,53,,T,,ファーラット,おばけキャンドル,,
メーダ,54,,T,ちからの扉,ヘルボックル,ブリザード,,
プチット族,55,,T,,メーダ,シャイニング,,
ドロル,56,,,よろこびの扉,アニマルゾンビ,ヘルボックル,,
ガップリン,57,,,,くしざしツインズ,おおめだま,,
ドラゴスライム,58,,,うらみの扉,スライム,ドラゴンキッズ,,
リザードフライ,59,,T,ちからの扉,デンデン竜,はねスライム,,
キリキリバッタ,60,,T,まよいの扉,はなカワセミ,はねスライム,,
じんめんガエル,61,,,とまどいの扉,イエティ,はなカワセミ,,
ガオン,62,,,いかりの扉,シャイニング,イエティ,,
シーメーダ,63,,,,プチット族,シャイニング,,
スモールグール,64,,T,しんじつの扉,ドロル,プチット族,,
エテポンゲ,65,,T,孵化で入手,,,, 
ポイズンリザード,66,,T,まよいの扉,リザードフライ,ドラゴンスライム,,
ミノーン,67,,,,キリキリバッタ,リザードフライ,,
ナスビナーラ,68,,,,ズッキーニャ,ガップリン,,
キャットフライ,69,,T,とまどいの扉,じんめんガエル,キリキリバッタ,,
あおバチ騎兵,70,,T,とまどいの扉,,,, 
マドハンド,71,,T,やすらぎの扉,ガオン,じんめんガエル,,
シャーマン,72,,T,おおぞらの扉,シーメーダ,ガオン,,
ミイラおとこ,73,,T,,スモールグール,シーメーダ,,
スライムファング,74,,T,やすらぎの扉,ドラゴスライム,ドロル,,
スノードラゴン,75,,T,,ポイズンリザード,スモールグール,,
おおにわとり,76,,T,とまどいの扉,ミノーン,ポイズンリザード,,
スカルガルー,77,,T,とまどいの扉,キャットフライ,ミノーン,,
ミステリドール,78,,,ほろびの扉,マドハンド,キャットフライ,,
コサックシープ,79,,,しんじつの扉,プークプック,ズッキーニャ,,
ミストウィング,80,,T,ゆうきの扉,ミイラおとこ,シャーマン,,
