モンスター名,No,他国,所持,入手方法,配合1,配合2,配合3,配合4
スライムファミリー,396,,T,よろこびの扉-黄金郷-,,,,
アンドレアル,397,,T,ねむりの扉,スマイルリザード,ダークナイト,,
マンイーター,398,,T,きぼうの扉,ひとくいそう,ひとくいそう,,
とうだいタイガー,399,,,うらみの扉,とらおとこ,いどまじん,,
ブオーン,400,入手可,T,ちからの扉,プオーン,プオーン,,
トラップボックス,401,,T,さいはての扉,ミミック,ミミック,ひとくい箱,ひとくい箱
ウィングデビル,402,,T,さいはての扉,とうだいタイガー,ドラキー,,
トロルボンバー,403,,,よろこびの扉-黄金郷-,ボストロール,ブオーン,,
ギガミュータント,404,,T,ぜっかいの扉,ガマキャノン,ガマキャノン,,
バブルキング,405,,T,さいはての扉,スライムベホマズン,デスゴーゴン,,
ずしおうまる,406,,T,ほむらの扉,あくまの騎士,ギガントヒルズ,,
バッファロン,407,,T,さいはての扉,とうだいタイガー,マンイーター,,
シールドオーガ,408,,T,,メガボーグ,プロトキラー,,
魔王の使い,409,,T,倒すと確定で入手,プチット族,ウィングデビル,,
デッドマスカー,410,,,光あふれる地,ギガミュータント,ウィングデビル,,
スライダーキッズ,411,,T,おもいでの扉-黄金郷-,,,,
ワニバーン,412,,,,グランドシャーク,シャークマジュ,,
ウパソルジャー,413,,,ぜっかいの扉,くもの大王,ソードファントム,,
グレンデル,414,,T,とこやみの扉,バッファロン,バブルキング,,
キマイラロード,415,,T,ほむらの扉,メッサーラ,デスゴーゴン,,
ボル,416,,T,さいはての扉,ブリザードマン,ギリメカラ,,
ブル,417,,,さいはての扉,バル,ズッキーニャ,,
バル,418,,T,だいちの扉,ブル,おばけキャンドル,,
ベル,419,,T,とこやみの扉,バル,ももんじゃ,,
ライオネック,420,,,らいうんの扉,シュプリンガー,ウパソルジャー,,
皇帝ガナサダイ,421,,,,キングレオ,イブール,,
ダークキング,422,入手可,T,,バブルキング,ギガミュータント,,
黒竜丸,423,,T,,アンドレアル,フラワーゾンビ,,
サンダーバード,424,,T,,ひくいどり,ホークブリザード,,
ユニコーン,425,,T,,グレンデル,デッドマスカー,,
木馬の騎士,426,,T,,ボル,デッドマスカー,,
コスモファントム,427,,T,,ダンビラムーチョ,ソードファントム,,
がいこつけんし,428,,T,,しりょうのきし,しりょうのきし,,
イデアラゴン,429,,,,黒竜丸,魔教師エルシオン,,
ヘラクレイザー,430,,T,孵化で入手,かぶとこぞう,メタルキング,,
マポレーナ,431,入手可,T,孵化で入手,,,,
タイムマスター,432,入手可,T,孵化で入手,なぞのしんかん,なぞのしんかん,なげきのぼうれい,なげきのぼうれい
セバスチャン,433,,T,魔戦士4体入手後に話しかける,,,,
黄泉の花,434,,T,たびだちの扉-黄金郷-,,,,
ブラッドポリス,435,,T,まもりの扉-黄金郷-,,,,
いなずまビリー,436,,T,ゆうきの扉-黄金郷-,,,,
グレイトボンバー,437,,T,いかりの扉-黄金郷-,,,,
ダークサキュバス,438,,T,やすらぎの扉-黄金郷-,,,,
オカルトビスク,439,,T,孵化で入手,,,,
カンダタ,440,,,,,,,
アサシンブロス,441,入手可,T,孵化で入手,,,,
プチットガールズ,442,,,,プチット族,ローズダンス,,
ダブルイーター,443,,T,,アサシンブロス,おおめだま,,
デスソシスト,444,入手可,T,孵化で入手,,,,
メタルカイザー,445,入手可,T,,メタルライダー,メタルライダー,スライムベホマズン,スライムベホマズン
オーシャンクロー,446,,T,ねむりの扉,,,,
モヒカント,447,,T,だいちの扉,ギリメカラ,スライムファング,,
グラコス,448,入手可,T,,ベリアル,オクトセントリー,,
なげきのぼうれい,449,入手可,T,,ナイトリッチ,病魔パンデルム,,
死神きぞく,450,,,,ボーンナイト,ボーンナイト,,
グレイトドラゴン,451,,T,ほむらの扉,アンドレアル,デンタザウルス,,
ローズダンス,452,入手可,T,孵化で入手,,,,
ゴンズ,453,入手可,,,バッファロン,シュプリンガー,,
うごくせきぞう,454,,T,孵化で入手,ゴーレム,ゴーレム,ゴーレム,ゴーレム
じごくのマドンナ,455,入手可,T,孵化で入手,,,,
ドラゴンコープス,456,,T,,病魔パンデルム,アンドレアル,,
スライダーガール,457,入手可,T,,,,,
ガルーダ,458,,,たくらみの扉,ヘルコンドル,ワニバーン,,
アンクルホーン,459,,T,,バッファロン,ダークホーン,,
ほうらい大王,460,入手可,T,孵化で入手,ランプの魔王,なぞのしんかん,,
ゲモン,461,,,,ジャミラス,ベリアル,,
ナイトキング,462,,,孵化で入手,ナイトリッチ,ナイトリッチ,,
妖女イシュダル,463,,T,,マンドラゴラ,プチットガールズ,,
ピサロナイト,464,,T,,キラーアーマー,オーシャンクロー,,
