モンスター名,No,他国,所持,入手方法,配合1,配合2,配合3,配合4
ぶちキング,240,,T,きぼうの扉,もりもりスライム,もりもりベス,,
海竜,241,,T,,ギャオース,キングコブラ,,
ヘルコンドル,242,,T,らいうんの扉,よるのていおう,ズッキーニャ,,
ガーゴイル,243,,,しれんの扉,レッサーデーモン,おばけキャンドル,,
いどまじん,244,,T,,こうてつまじん,エビルアングラー,,
エビルマスター,245,,T,きょじんの扉,サタンパピー,こうてつまじん,,
かぼちゃの騎士,246,,,しあわせの扉,ナイトウイプス,タイガーランス,,
スラッピー,247,,,きょじんの扉,もりもりスライム,わかめおうじ,ストーンスライム,エビルマスター
バルンバ,248,,,さばきの扉,海竜,もりもりスライム,,
ガンコどり,249,,T,おもいでの扉-黄金郷-,スーパーテンツク,アイアンタートル,,
ねこまどう,250,,T,さばきの扉,タイガーランス,スーパーテンツク,,
エビルワンド,251,,,しれんの扉,いどまじん,ナイトウイプス,,
フェアリーバット,252,,,おおぞらの扉-黄金郷-,,,,
オーガヘッド,253,,T,ちからの扉,エビルマスター,いどまじん,,
くさった死体,254,,T,かがみの扉,かぼちゃの騎士,エビルマスター,,
メタルライダー,255,,,かがみの扉,メタルスライム,エビルドライブ,,
メタルドラゴン,256,,T,れっぷうの扉,メタルスライム,ダースドラゴン,,
ドラゴビショップ,257,,,やすらぎの扉-黄金郷-,,,,
じんめんじゅ,258,,T,,ガンコどり,バルンバ,,
キラースコップ,259,,T,,,,,
プオーン,260,入手可,,,,,,
エビルポット,261,,,さいはての扉,エビルワンド,ねこまどう,,
ヘルビースト,262,,,ちからの扉-黄金郷-,,,,
さまようよろい,263,,T,かがみの扉,デビルアーマー,メラゴースト,,
もりもりベス,264,,,,もりもりスライム,スライムベス,,
ドラゴンマッド,265,,,れっぷうの扉,バルンバ,スラッピー,,
とうちゅうかそう,266,,T,しれんの扉,じんめんじゅ,メタルライダー,,
ライノソルジャー,267,,,しあわせの扉,ねこまどう,ガンコどり,,
くもの大王,268,,T,らいうんの扉,フレイム,ブリザード,,
おおドラキー,269,,T,しあわせの扉,ドラキー,ドラキー,ドラキー,ドラキー
キラーストーカー,270,,T,ほむらの扉,さまようよろい,エビルポット,,
スライムブレス,271,,,しれんの扉,メタルライダー,くさった死体,,
ソードドラゴン,272,,T,まもりの扉-黄金郷-,ドラゴンマッド,さまようよろい,,
グランドシャーク,273,,,,キリキリバッタ,ライノソルジャー,,
アイアンブルドー,274,,T,とこやみの扉,ダークホーン,あばれこまいぬ,,
あくまのカガミ,275,,,さいはての扉,エビルポット,じんめんじゅ,,
メタルハンター,276,,T,光あふれる地,,,,
オクトセントリー,277,,T,ぜっかいの扉,オーガヘッド,エビルワンド,,
ケルベロス,278,,T,だいちの扉,キラーストーカー,ライノソルジャー,,
キングスライム,279,,T,,もりもりスライム,もりもりスライム,,
デンタザウルス,280,,T,さばきの扉,ギガントヒルズ,おばけキャンドル,,
とつげきうお,281,,,たくらみの扉,エビルアングラー,スライム,,
マーマン,282,,,,ライノソルジャー,とうちゅうかそう,,
ギガハンド,283,,,おおぞらの扉,あくまのカガミ,グランドシャーク,,
サイレス,284,,T,ほろびの扉,オクトセントリー,あくまのカガミ,,
しにがみ,285,,,れっぷうの扉,ケルベロス,オクトセントリー,,
スライムタワー,286,,,,スライムブレス,キラーストーカー,,
ライバーン,287,,,さいはての扉,デンタザウルス,ケルベロス,,
かりゅうそう,288,,,かがみの扉,とつげきうお,デンタザウルス,,
かくとうパンサー,289,,,さいはての扉,マーマン,とつげきうお,,
メガボーグ,290,,T,とこやみの扉,ギガハンド,マーマン,,
セイレーンゴースト,291,,,いかりの扉-黄金郷-,,,,
魔教師エルシオン,292,,,,サイレス,ギガハンド,,
じごくのもんばん,293,,T,しんじつの扉,,,,
アラウネ,294,,,よろこびの扉-黄金郷-,,,,
ドラゴンヘビー,295,,T,かがみの扉,,,,
エビラ,296,,,たくらみの扉,ぐんたいガニ,ぐんたいガニ,,
イノブタマン,297,,,まちびとの扉-黄金郷-,,,,
グリーンモッキー,298,,,ちからの扉-黄金郷-,,,,
コハクそう,299,,,たくらみの扉,メガボーグ,かくとうパンサー,,
コトブキーノ,300,,T,かがみの扉,魔教師エルシオン,メガボーグ,,
ウインドマージ,301,,,しれんの扉,しにがみ,サイレス,,
ベホマスライム,302,,,いかりの扉-黄金郷-,,,,
れんごく天馬,303,,T,かがみの扉,タイガーランス,フレイム,,
ダックカイト,304,,T,ほろびの扉,エビラ,ドラゴンヘビー,,
デスフラッター,305,,T,孵化で入手,おおがらす,やたがらす,,
サイコロン,306,,,いかりの扉-黄金郷-,おおめだま,おおめだま,おおめだま,おおめだま
ひょうがまじん,307,,,,ホークブリザード,ゴーレム,,
ジェネラルダンテ,308,,T,さいはての扉,コトブキーノ,コハクそう,,
ダンスキャロット,309,,,さばきの扉,ウインドマージ,コトブキーノ,,
スライムボーグ,310,,,うらみの扉,メタルハンター,スライム,,
シュプリンガー,311,,,さそいの扉,ぼうれいけんし,ダースドラゴン,,
ファンキーバード,312,,T,よろこびの扉,ダックカイト,ベホマスライム,,
ダンビラムーチョ,313,,,うらみの扉,かくとうパンサー,かりゅうそう,,
ようがんまじん,314,,,しあわせの扉,ひくいどり,ゴーレム,,
なぞのしんかん,315,,,,あくましんかん,パペットこぞう,,
ソードファントム,316,,T,ぜっかいの扉,ぼうれいけんし,ぼうれいけんし,ぼうれいけんし,ぼうれいけんし
ティコ,317,,T,孵化で入手,,,,
ククリ,318,,T,孵化で入手,,,,
