モンスター名,No,他国,所持,入手方法,配合1,配合2,配合3,配合4
ギャオース,156,,T,まぼろしの扉,フーセンドラゴン,スノーム,,
キメラ,157,,,さばきの扉,デッドペッカー,スノーム,,
ビーライダー,158,,,とまどいの扉 -黄金郷,,,, 
ブラウニー,159,,T,おもいでの扉 -黄金郷,おおきづち,ズッキーニャ,,
ギズモ,160,,T,しれんの扉,とっしんこぞう,ストロングアニマル,,
ピサロのてさき,161,,,,ひとつめピエロ,とっしんこぞう,,
ぼうれいけんし,162,,T,かがみの扉,ふゆうじゅ,ひとつめピエロ,,
スライムナイト,163,,,いかりの扉,エビルドライブ,スライム,,
ダースドラゴン,164,,T,,ドラゴン,アントベア,,
せみもぐら,165,,T,,ズッキーニャ,スライムナイト,,
いわとびあくま,166,,,,ホークブリザード,ズッキーニャ,,
とらおとこ,167,,T,まぼろしの扉,ストロングアニマル,デッドペッカー,,
メタッピー,168,,T,きょじんの扉,ギズモ,キメラ,,
デザートデーモン,169,,T,さそいの扉,ベビーサタン,ももんじゃ,,
がいこつ,170,,T,きょじんの扉,ぼうれいけんし,ピサロのてさき,,
たつのこナイト,171,,T,さいはての扉,ダースドラゴン,スライムナイト,,
ビーンファイター,172,,,さそいの扉,せみもぐら,ダースドラゴン,,
ダークホーン,173,,T,まよいの扉,コサックシープ,おおめだま,,
あばれこまいぬ,174,,,,ワンダーフール,ぐんたいガニ,,
スカルサーペント,175,,,しれんの扉,がいこつ,デザートデーモン,,
パールモービル,176,,,さばきの扉-黄金郷,,,, 
ストーンスライム,177,,T,ちからの扉,スライムナイト,ぼうれいけんし,,
バピラス,178,,,いかりの扉,たつのこナイト,がいこつ,,
ぐんたいガニ,179,,,さばきの扉,ビーンファイター,たつのこナイト,,
モーザ,180,,,さばきの扉,ダークホーン,ビーンファイター,,
クラウンヘッド,181,,,だいちの扉,メタッピー,とらおとこ,,
メドーサボール,182,,,いかりの扉,ウィングスネーク,ひとつめピエロ,,
スカルブレード,183,,,かがみの扉,スカルサーペント,ダークホーン,,
キングコブラ,184,,,かがみの扉,バピラス,ストーンスライム,,
はさみくわがた,185,,T,おもいでの扉-黄金郷,ぐんたいアリ,ミステリドール,,
リカント,186,,,とまどいの扉-黄金郷,,,, 
ゴーレム,187,,T,まもりの扉,クラウンヘッド,モーザ,,
シルバーデビル,188,,T,さそいの扉,デザートデーモン,メタッピー,,
おおなめくじ,189,,T,しれんの扉,スカルブレード,クラウンヘッド,,
ボックススライム,190,,,かがみの扉,ストーンスライム,スカルサーペント,,
プテラノドン,191,,T,,キングコブラ,スカルブレード,,
おおうつぼ,192,,T,しあわせの扉,ぐんたいガニ,バピラス,,
キラーエイプ,193,,,しれんの扉,モーザ,ぐんたいガニ,,
ひとくいサーベル,194,,,,ゴーレム,キングコブラ,,
あくましんかん,195,,T,しんじつの扉,シルバーデビル,ゴーレム,,
あくまのめだま,196,,,とまどいの扉-黄金郷,おおなめくじ,シルバーデビル,,
ギガントヒルズ,197,,T,しあわせの扉,プテラノドン,ボックススライム,,
おおさそり,198,,,,はさみくわがた,メラゴースト,,
ガマキャノン,199,,T,,じんめんガエル,ポムポムボム,,
パペットこぞう,200,,,さばきの扉,スライム,ドルイド,,
きりさきピエロ,201,,,やすらぎの扉-黄金郷,,,, 
マネマネ,202,,T,まぼろしの扉,,,, 
エンゼルスライム,203,,T,さばきの扉,ボックススライム,おおなめくじ,,
ガメゴン,204,,T,しあわせの扉,ギガントヒルズ,あくまのめだま,,
メイデンドール,205,,,しあわせの扉,,,, 
プチアーノン,206,,,たくらみの扉,おおうつぼ,プテラノドン,,
おおみみず,207,,,孵化で入手,,,,
トドマン,208,,,さいはての扉,キラーエイプ,おおうつぼ,,
デビルアーマー,209,,T,ちからの扉,さつじんいかり,メラゴースト,,
リリパット,210,,,さそいの扉,あくましんかん,ひとくいサーベル,,
ダーククラブ,211,,T,よろこびの扉,ぐんたいガニ,メラゴースト,,
メタルスライム,212,,T,ほむらの扉,,,,
バトルレックス,213,,,,ガメゴン,エンゼルスライム,,
エビルアングラー,214,,,たくらみの扉,ポグフィッシュ,おおめだま,,
キラーパンサー,215,,T,倒すと確定で入手,ベビーパンサー,ベビーパンサー,ベビーパンサー,ベビーパンサー
こうてつまじん,216,,,れっぷうの扉,デビルアーマー,トドマン,,
サタンパピー,217,,,おおぞらの扉,リリパット,デビルアーマー,,
くらやみハーピー,218,,,おおぞらの扉,,,,
わかめおうじ,219,,,おおぞらの扉,ダーククラブ,リリパット,,
もりもりスライム,220,,T,さいはての扉,エンゼルスライム,パペットこぞう,,
アイアンタートル,221,,T,よろこびの扉,バトルレックス,ダーククラブ,,
スーパーテンツク,222,,T,うらみの扉,エビルアングラー,バトルレックス,,
タイガーランス,223,,T,おおぞらの扉,トドマン,プチアーノン,,
あくまの書,224,,T,配合で入手,,,,
ふくぶくろ,225,,T,扉（各地）,,,,
スペクテット,226,,,やすらぎの扉-黄金郷,,,,
ナイトウイプス,227,,T,かがみの扉,わかめおうじ,サタンパピー,,
スラ忍イエロー,228,入手可,T,,,,,
スラ忍レッド,229,入手可,T,,,,,
スラ忍ブラウン,230,入手可,T,,,,,
