モンスター名,他国,所持,入手方法,配合1,配合2,配合3,配合4
いっかく竜,,,よろこびの扉,コドラ,おばけキャンドル,,
あばれうしどり,,,しあわせの扉,おおにわとり,スノードラゴン,,
ベビーパンサー,,,おもいでの扉,スカルガルー,おおにわとり,,
ばくだんいわ,,,,ミステリドール,スカルガルー,,
ブッチョマン,,,きょじんの扉,コサックシープ,ミステリドール,,
やたがらす,,,さそいの扉,ミストウィング,コサックシープ,,
エビルドライブ,,,孵化で入手,ドラゴン,おおめだま,,
スライムベス,,,,スライムファング,ミイラおとこ,,
ドラゴンブッシュ,,,しあわせの扉,いばらドラゴン,メラゴースト,,
もみじこぞう,,,ゆうきの扉,あばれうしどり,ミストウィング,,
ワンダーフール,,,,ベビーパンサー,あばれうしどり,,
フレイム,,,おおぞらの扉,ブリザード,メラゴースト,,
くびかり族,,,とまどいの扉,ブッチョマン,ばくだんいわ,,
ボーンプリズナー,,,ゆうきの扉,やたがらす,ブッチョマン,,
ドロルメイジ,,,孵化で入手,,,,
ダッシュラン,,,,コドラ,リザードキッズ,,
マッドプラント,,,,もみじこぞう,ドラゴンブッシュ,,
グリズリー,,,よろこびの扉,ワンダーフール,ドラゴンブッシュ,,
モーモン,,,孵化で入手,,,,
ドロヌーバ,,,よろこびの扉,フレイム,ワンダーフール,,
ドルイド,,,おもいでの扉,くびかり族,フレイム,,
スキッパー,,,ちからの扉,ボーンプリズナー,くびかり族,,
スライムつむり,,,しあわせの扉,スライムベス,やたがらす,,
ドラゴン,,,まちびとの扉,ドラゴンキッズ,ドラゴンキッズ,,
サボテンボール,,,おもいでの扉 -黄金郷,,,,
よるのていおう,,,ちからの扉,グリズリー,マッドプラント,,
リンリン,,,おおぞらの扉,ドロヌーバ,グリズリー,,
ジャンバラヤン,,,やすらぎの扉,ドルイド,ドロヌーバ,,
ダースウルフェン,,,さそいの扉,スキッパー,ドルイド,,
トマトマーレ,,,まちびとの扉-黄金郷,,,,
フェアリードラゴン,,,しあわせの扉,ドラゴン,スライムつむり,,
オニオーン,,,ほろびの扉,マッドプラント,ダッシュラン,,
シードッグ,,,,よるのていおう,スライムつむり,,
プリズニャン,入手可,,,
おどるほうせき,,,,わらいぶくろ,わらいぶくろ,,
ベビーサタン,,,きょじんの扉,ジャンバラヤン,よるのていおう,,
マッドロン,,,さそいの扉,ダースウルフェン,ジャンバラヤン,,
ぶちスライム,,,ちからの扉,スライム,スライムベス,,
おおイグアナ,,,いかりの扉,フェアリードラゴン,ダースウルフェン,,
テールイーター,,,さいはての扉,オニオーン,フェアリードラゴン,,
どんぐりベビー,,,,サボテンボール,ガップリン,,
アルミラージ,,,きょじんの扉,いっかく竜,ズッキーニャ,,
あくまのつぼ,,,,おどるほうせき,シードッグ,,
グレムリン,,,さいはての扉,ベビーサタン,おどるほうせき,,
ハエおとこ,,,かがみの扉,マッドロン,おどるほうせき,,
ウィングスネーク,,,ちからの扉,おおイグアナ,ぶちスライム,,
かまいたち,,,さそいの扉,テールイーター,おおイグアナ,,
サーベルきつね,,,まよいの扉,アルミラージ,テールイーター,,
ひとくい箱,,,,わらいぶくろ,ばくだんいわ,,
ヌボーン,,,さそいの扉,デンデン竜,おおめだま,,
はなまどう,,,きょじんの扉,ハエおとこ,グレムリン,,
スライムカルゴ,,,さばきの扉,ぶちスライム,マッドロン,,
スカルゴン,,,,ドラゴン,メラゴースト,,
じんめんちょう,,,しんじつの扉,かまいたち,ウィングスネーク,,
ポグフィッシュ,,,孵化で入手,,,,
ビックアイ,,,ゆうきの扉,サーベルきつね,かまいたち,,
シャドー,,,やすらぎの扉,ひとくい箱,サーベルきつね,,
びっくりサタン,,,きょじんの扉,ヌボーン,ひとくい箱,,
ポムポムボム,,,おおぞらの扉,サボテンボール,メラゴースト,,
ドラゴンバゲージ,,,しあわせの扉,デンデン竜,ズッキーニャ,,
フェアリーラット,,,まよいの扉,ぐんたいアリ,シャドー,,
オーク,,,しあわせの扉,ビックアイ,じんめんちょう,,
さつじんいかり,,,,リンリン,おおめだま,,
レッサーデーモン,,,しんじつの扉,ベビーサタン,メラゴースト,,
パラサキス,,,,ポムポムボム,びっくりサタン,,
かれくさネズミ,,,ゆうきの扉-黄金郷,,,,
スノーム,,,,ブリザード,スライム,,
フーセンドラゴン,,,おおぞらの扉,ドラゴンバゲージ,ポムポムポム,,
デッドペッカー,,,,フェアリーラット,ドラゴンバゲージ,,
ストロングアニマル,,,さそいの扉,オーク,フェアリーラット,,
とっしんこぞう,,,とまどいの扉,ダッシュラン,おばけキャンドル,,
りゅうはかせ,,,さそいの扉,,,,
ゴールドマン,,,,ゴーレム,おどるほうせき,,
ひとつめピエロ,,,ほろびの扉,レッサーデーモン,オーク,,
ふゆうじゅ,,,さばきの扉,パラサキス,レッサーデーモン,,
