モンスター名,他国,所持,入手方法,配合1,配合2,配合3,配合4
スライム,,,たびだちの扉,スライム,スライム,,
ドラゴンキッズ,,,まもりの扉,スライム,ズッキーニャ,,
ズッキーニャ,,,まちびとの扉,スライム,ズッキーニャ,,
ももんじゃ,,,,スライム,メラゴースト,,
おばけキャンドル,,,たびだちの扉,ドラゴンキッズ,リーファ,,
おおめだま,,,いかりの扉,スライム,おばけキャンドル,,
メラゴースト,,,いかりの扉,スライム,おおめだま,,
からくりエッグ,,,ちからの扉,,,, 
リーファ,,,,ドラゴンキッズ,メラゴースト,,
コドラ,,,まよいの扉,ズッキーニャ,リーファ,,
カバシラー,,,まちびとの扉,ズッキーニャ,ドラゴンキッズ,,
いたずらもぐら,,,ほろびの扉,ももんじゃ,ズッキーニャ,,
わらいぶくろ,,,まもりの扉,おばけキャンドル,ももんじゃ,,
ドラキー,,,たびだちの扉,おおめだま,おばけキャンドル,,
マンドラ,,,まちびとの扉,マンドラ,スライム,,
ゴースト,,,よろこびの扉,メラゴースト,おおめだま,,
タマゴロン,,,,リーファ,メラゴースト,,
リザードキッズ,,,やすらぎの扉,アルゴリザード,ももんじゃ,,
くしざしツインズ,,,まもりの扉,カバシラー,コドラ,,
アントベア,,,たびだちの扉,いたずらもぐら,カバシラー,,
どろにんぎょう,,,おもいでの扉,いたずらもぐら,わらいぶくろ,,
リップス,,,ふういんの扉,ドラキー,わらいぶくろ,,
きりかぶおばけ,,,おもいでの扉,ゴースト,ドラキー,,
スライムツリー,,,おもいでの扉,タマゴロン,ゴースト,,
とさかへび,,,まちびとの扉,リザードキッズ,タマゴロン,,
ピッキー,,,たびだちの扉,くしざしツインズ,タマゴロン,,
ファーラット,,,まちびとの扉,アントベア,くしざしツインズ,,
ネジまきどり,,,しんじつの扉,どろにんぎょう,アントベア,,
おにこぞう,,,,リップス,どろにんぎょう,,
エビルシード,,,ゆうきの扉,きりかぶおばけ,リップス,,
バブルスライム,,,まぼろしの扉,スライムツリー,きりかぶおばけ,,
いばらドラゴン,,,ねむりの扉,とさかへび,スライムツリー,,
キャタピラー,,,,ピッキー,とさかへび,,
おおきづち,,,やすらぎの扉,ファーラット,ピッキー,,
モコッキー,,,ゆうきの扉,,,, 
ばくだんベビー,,,とまどいの扉,ネジまきどり,ピッキー,,
プークプック,,,とまどいの扉,おにこぞう,ネジまきどり,,
おばけきのこ,,,よろこびの扉,エビルシード,おにこぞう,,
ホイミスライム,,,たびだちの扉,バブルスライム,エビルシード,,
アルゴリザード,,,しんじつの扉,リザードキッズ,メラゴースト,,
ぐんたいアリ,,,まもりの扉,キャタピラー,いばらドラゴン,,
ポンポコだぬき,,,うらみの扉,おおきづち,いばらドラゴン,,
ブリザード,,,まもりの扉 -黄金郷-,フレイム,イエティ,,
ヘルボックル,,,しれんの扉,プークプック,ばくだんヘビー,,
アニマルゾンビ,,,とまどいの扉,おばけきのこ,プークプック,,
はねスライム,,,ほろびの扉,ホイミスライム,おばけきのこ,,
デンデン竜,,,,リザードキッズ,ズッキーニャ,,
はなカワセミ,,,しれんの扉,ぐんたいアリ,ホイミスライム,,
おおがらす,,,,ピッキー,メラゴースト,,
イエティ,,,,ブリザード,ももんじゃ,,
ベロゴン,,,孵化で入手,ファーラット,アニマルゾンビ,,
シャイニング,,,しんじつの扉,ブリザード,ぐんたいアリ,,
かまっち,,,,ファーラット,おばけキャンドル,,
メーダ,,,ちからの扉,ヘルボックル,ブリザード,,
プチット族,,,,メーダ,シャイニング,,
ドロル,,,よろこびの扉,アニマルゾンビ,ヘルボックル,,
ガップリン,,,,くしざしツインズ,おおめだま,,
ドラゴスライム,,,うらみの扉,スライム,ドラゴンキッズ,,
リザードフライ,,,ちからの扉,デンデン竜,はねスライム,,
キリキリバッタ,,,まよいの扉,はなカワセミ,はねスライム,,
じんめんガエル,,,とまどいの扉,イエティ,はなカワセミ,,
ガオン,,,いかりの扉,シャイニング,イエティ,,
シーメーダ,,,,プチット族,シャイニング,,
スモールグール,,,しんじつの扉,ドロル,プチット族,,
エテポンゲ,,,孵化で入手,,,, 
ポイズンリザード,,,まよいの扉,リザードフライ,ドラゴンスライム,,
ミノーン,,,,キリキリバッタ,リザードフライ,,
ナスビナーラ,,,,ズッキーニャ,ガップリン,,
キャットフライ,,,とまどいの扉,じんめんガエル,キリキリバッタ,,
あおバチ騎兵,,,とまどいの扉,,,, 
マドハンド,,,やすらぎの扉,ガオン,じんめんガエル,,
シャーマン,,,おおぞらの扉,シーメーダ,ガオン,,
ミイラおとこ,,,,スモールグール,シーメーダ,,
スライムファング,,,やすらぎの扉,ドラゴスライム,ドロル,,
スノードラゴン,,,,ポイズンリザード,スモールグール,,
おおにわとり,,,とまどいの扉,ミノーン,ポイズンリザード,,
スカルガルー,,,とまどいの扉,キャットフライ,ミノーン,,
ミステリドール,,,ほろびの扉,マドハンド,キャットフライ,,
コサックシープ,,,しんじつの扉,プークプック,ズッキーニャ,,
ミストウィング,,,ゆうきの扉,ミイラおとこ,シャーマン,,
