モンスター名,No,他国,所持,入手方法,配合1,配合2,配合3,配合4
勇車スラリンガル,502,,T,おおぞらの扉-黄金郷-,,,,
ブラックドラゴン,503,,T,とこやみの扉,グレイトドラゴン,死神きぞく,,
ぬしさま,504,,T,たくらみの扉,海竜,タイラントワーム,,
怪力軍曹イボイノス,505,,,,バルバルー,ゴレオン将軍,,
邪眼皇帝アウルート,506,,,,カカロン,ゲルニック将軍,,
魔剣神レパルド,507,,,,クシャラミ,ギュメイ将軍,,
メルトア,508,,T,しあわせの扉-黄金郷-,,,,
キラーマシン2,509,,T,孵化で入手,ゴールデンゴーレム,ゴールデンゴーレム,キラーマシン,キラーマシン
アトラス,510,,T,とこやみの扉,ギガンテス,ダブルイーター,,
フールフール,511,,T,さそいの扉-黄金郷-,,,,
スライダークロボ,512,,T,孵化で入手,キラーマシン2,スライダーガール,スライダーヒーロー,死神スライダーク
ギガントドラゴン,513,,T,とこやみの扉,ギガントヒルズ,バズズ,,
リーズレット,514,,T,かがみの扉-黄金郷-,,,,
レティス,515,,T,ほろびの扉,,,,
キングレオ,516,,T,,パオーム,パオーム,,
ダーククリスタル,517,,,,メカバーン,ロック鳥,,
やまたのおろち,518,,T,倒すと確定で入手,トライワインダー,トライワインダー,セルゲイナス,セルゲイナス
ローズバトラー,519,入手可,T,,キングレオ,マンイーター,,
おにこんぼう,520,,T,とこやみの扉,ボストロール,ギガントヒルズ,,
ゴールデンゴーレム,521,入手可,T,,ようがんまじん,ようがんまじん,ひょうがまじん,ひょうがまじん
アクバー,522,,T,倒すと確定で入手,スライムジェネラル,ドラゴンコープス,,
ワイトキング,523,入手可,T,,なげきのぼうれい,バブルキング,,
スラ忍シルバー,524,,,,スラ忍パープル,スラ忍イエロー,,
セルゲイナス,525,,,,ゴールデンゴーレム,ブラックドラゴン,,
ホーンビートル,526,,,,ヘラクレイザー,シールドオーガ,,
にじくじゃく,527,,T,孵化で入手,ティコ,ガルーダ,,
デスマシーン,528,入手可,T,,ピサロナイト,あくまの騎士,,
死神の騎士,529,入手可,T,,ピサロナイト,ピサロナイト,,
バラモスゾンビ,530,入手可,,ふういんの扉,バラモス,ゾンビ系,,
スラ忍ゴールド,531,,,,スラ忍パープル,スラ忍グリーン,,
コアトル,532,入手可,T,,黒竜丸,アサシンブロス,,
ガマデウス,533,,T,孵化で入手,ギガミュータント,ほうらい大王,,
ドラゴンマシン,534,入手可,T,,コアトル,デスマシーン,,
エビルプリースト,535,入手可,T,,イブール,ほうらい大王,,
名をうばわれし王,536,,T,孵化で入手,黒騎士レオコーン,妖女イシュダル,,
キャット・リベリオ,537,,T,まちびとの扉-黄金郷-,,,,
スライムマデュラ,538,,T,孵化で入手,もりもりベス,もりもりベス,メタルキング,メタルキング
はくりゅうおう,539,,T,,メカバーン,ギガントドラゴン,,
さそりアーマー,540,,T,とこやみの扉,サンダーバード,ピサロナイト,,
バルザック,541,,T,,ギガンテス,ベリアル,,
キラーマシン3,542,,T,勝ち抜きバトルで入手,,,,
タイタニス,543,,T,,アンクルホーン,ぬしさま,,
ゆうれい船,544,,T,うらみの扉-黄金郷-,,,,
キングモーモン,545,入手可,T,,ピンクモーモン,マポレーナ,ティコ,ククリ
バベルボブル,546,,T,,バル,ベル,ボル,ブル
ヘルバトラー,547,,T,,アンクルホーン,アンクルホーン,,
りゅうおう,548,,T,,グレイトドラゴン,魔王の使い,,
ハーゴン,549,,T,,デュラン,ワイトキング,,
バラモス,550,,T,,デンタザウルス,オセアーノン,,
ムドー,551,,T,,ブオーン,おにこんぼう,,
ドーク,552,,T,,バルザック,アクバー,,
魔王デスタムーア,553,,T,,デスタムーア,死神の騎士,,
フォロボシータ,554,,T,さばきの扉-黄金郷-,,,,
シドー,555,,T,,ハーゴン,オセアーノン,,
フォロボス,556,,T,孵化で入手,ライオネック,カプリゴン,,
キャプテン・クロウ,557,,T,倒すと確定で入手,,,,
グランスライム,558,,T,孵化で入手,スライムベホマズン,スライムベホマズン,メタルカイザー,メタルカイザー
スラキャンサー,559,,T,孵化で入手,ゴールデンスライム,ゴールデンスライム,ダーククラブ,ダーククラブ
オセアーノン,560,,T,よろこびの扉,プチアーノン,プチアーノン,大王イカ,大王イカ
ドルマゲス,561,入手可,T,,はくりゅうおう,フォロボス,,
キラーマジンガ,562,入手可,T,,ドラゴンマシン,キラーマシン3,,
ゴールデンスライム,563,,T,ちいさなメダル報酬で入手,グランスライム,グランスライム,ゴールデンゴーレム,ゴールデンゴーレム
暗黒皇帝ガナサダイ,564,入手可,T,,ギュメイ将軍,ゴレオン将軍,ゲルニック将軍,皇帝ガナサダイ
暗黒の魔神,565,入手可,T,,バベルボブル,ゴールドマン,,
カンダタワイフ,566,,T,孵化で入手,,,,
カンダタおやぶん,567,,T,孵化で入手,,,,
エッグラ＆チキーラ,568,,T,とまどいの扉-黄金郷-,,,,
魔軍司令ホメロス,569,,,,リーズレット,フールフール,,
カカロン,570,,T,れっぷうの扉-黄金郷-,,,,
クシャラミ,571,,T,らいうんの扉-黄金郷-,,,,
バルバルー,572,,T,だいちの扉-黄金郷-,,,,
ドメディ,573,,T,ぜっかいの扉-黄金郷-,,,,
